"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_de_286_Treatment plant-2024-04-27","2024-04-27","ID:286","0.0","1","Minimal","Kent","Delaware","38.98565","-75.44296","#1a6e6b","#82cec2"
"NWSS_id_376_Treatment plant-2024-04-27","2024-04-27","ID:376","Insufficient Data","0","Insufficient Data","Bingham","Idaho","43.254408","-112.461078","#cccccc","#cccccc"
"NWSS_oh_1546_Treatment plant-2024-04-27","2024-04-27","ID:1546","0.0","1","Minimal","Fairfield","Ohio","39.68993","-82.60564199999999","#1a6e6b","#82cec2"
"NWSS_or_1738_Treatment plant-2024-04-27","2024-04-27","ID:1738","Insufficient Data","0","Insufficient Data","Linn","Oregon","45.662667000000006","-122.844498","#cccccc","#cccccc"
"NWSS_va_2014_Treatment plant-2024-04-27","2024-04-27","ID:2014","Insufficient Data","0","Insufficient Data","Hampton City, Newport News City, York, Gloucester, Mathews, Poquoson City","Virginia","37.179342","-76.426709","#cccccc","#cccccc"
"WWS_fl_315_Treatment plant-2024-04-27","2024-04-27","ID:315-B","12.82","2","Minimal","Orange","Florida","28.447757","-81.46184","#318984","#82cec2"
"NWSS_il_476_Treatment plant-2024-04-27","2024-04-27","ID:476","0.0","1","Minimal","Morgan","Illinois","39.747884","-90.30270800000001","#1a6e6b","#82cec2"
"WWS_ne_1162_Treatment plant-2024-04-27","2024-04-27","ID:1162","26.53","3","Low","Lancaster","Nebraska","40.864141","-96.72215399999999","#46a59e","#b1e1bb"
"WWS_nj_1222_Treatment plant-2024-04-27","2024-04-27","ID:1222","20.0","3","Low","Somerset","New Jersey","40.605422000000004","-74.607918","#46a59e","#b1e1bb"
"NWSS_oh_1512_Treatment plant-2024-04-27","2024-04-27","ID:1512","Insufficient Data","0","Insufficient Data","Ashtabula","Ohio","41.747636","-80.60595500000001","#cccccc","#cccccc"
"NWSS_oh_1657_Treatment plant-2024-04-27","2024-04-27","ID:1657","Insufficient Data","0","Insufficient Data","Portage","Ohio","41.203625","-81.304838","#cccccc","#cccccc"
